# TIME, VOLTAGE, LPM
24.60000000,4.70626692,9.61709758
24.65000000,4.94151224,10.34571203
24.70000000,5.14998704,10.94681070
24.75000000,5.31839464,11.09183024
24.80000000,5.43576358,11.39699283
24.85000000,5.49419434,11.82349553
24.90000000,5.48942962,12.00562660
24.95000000,5.42120554,11.77110812
25.00000000,5.29335334,11.67261241
25.05000000,5.11363681,11.71549067
25.10000000,4.89332713,11.35758794
25.15000000,4.64653457,10.78113982
25.20000000,4.38933345,10.36086914
25.25000000,4.13873202,10.14324166
25.30000000,3.91155166,9.51793888
25.35000000,3.72328817,8.81726285
25.40000000,3.58703241,8.45649811
25.45000000,3.51252618,8.37042118
25.50000000,3.50542297,8.19444909
25.55000000,3.56681177,7.89194938
25.60000000,3.69304589,8.06413998
25.65000000,3.87589872,8.36715273
25.70000000,4.10304652,8.62213724
25.75000000,4.35885449,9.11759954
25.80000000,4.62542001,9.62334303
25.85000000,4.88380658,10.10939676
25.90000000,5.11538541,10.40039827
25.95000000,5.30319066,11.22109526
26.00000000,5.43318958,11.58289897
26.05000000,5.49537139,11.86016536
26.10000000,5.48456823,11.94591224
26.15000000,5.40093843,12.13825861
26.20000000,5.25006475,11.74625538
26.25000000,5.04264771,11.14690039
26.30000000,4.79380398,10.81844227
26.35000000,4.52201049,10.80838395
26.40000000,4.24776353,10.29059143
26.45000000,3.99204712,9.66086511
26.50000000,3.77472295,9.07587815
26.55000000,3.61296517,8.74190005
26.60000000,3.51986398,8.23045113
26.65000000,3.50331377,8.02337417
26.70000000,3.56528326,8.03760767
26.75000000,3.70153796,8.13764003
26.80000000,3.90185222,8.23134509
26.85000000,4.15070908,8.99959765
26.90000000,4.42844717,9.15259059
26.95000000,4.71277526,9.67555964
27.00000000,4.98054189,10.29843139
27.05000000,5.20962225,10.69675967
27.10000000,5.38076922,11.23080921
27.15000000,5.47927305,11.57882271
27.20000000,5.49628391,11.74763711
27.25000000,5.42967502,11.91198322
27.30000000,5.28435822,11.87349016
27.35000000,5.07200776,11.70895202
27.40000000,4.81019691,11.25344670
27.45000000,4.52100366,10.82599115
27.50000000,4.22918953,10.11716149
27.55000000,3.96009724,9.81534545
27.60000000,3.73744301,9.19358461
27.65000000,3.58119541,8.81008266
27.70000000,3.50573178,8.05307729
27.75000000,3.51844603,8.14707648
27.80000000,3.61894703,8.09171795
27.85000000,3.79893872,8.40797851
27.90000000,4.04281431,8.52272692
27.95000000,4.32893272,8.87912519
28.00000000,4.63148131,9.55930854
28.05000000,4.92277123,10.01006973
28.10000000,5.17576547,10.80681598
28.15000000,5.36661072,11.10581651
28.20000000,5.47693508,11.52586907
28.25000000,5.49568715,11.57123951
28.30000000,5.42032751,11.75839486
28.35000000,5.25723830,11.67665278
28.40000000,5.02128743,11.31332891
28.45000000,4.73456305,11.12780029
28.50000000,4.42437559,10.42790127
28.55000000,4.12069981,9.86344226
28.60000000,3.85329081,9.46532501
28.65000000,3.64874897,8.90535374
28.70000000,3.52782357,8.47805627
28.75000000,3.50323207,8.09463068
28.80000000,3.57822985,8.15134721
28.85000000,3.74609807,8.16501810
28.90000000,3.99062984,8.62803001
28.95000000,4.28759589,9.10250439
29.00000000,4.60706928,9.45998120
29.05000000,4.91639557,9.89634465
29.10000000,5.18351981,10.69415115
29.15000000,5.38033432,11.28941010
29.20000000,5.48569626,11.61715948
29.25000000,5.48778674,11.83557859
29.30000000,5.38554105,11.79905964
29.35000000,5.18896905,11.74510556
29.40000000,4.91829771,11.39747493
29.45000000,4.60199227,10.85553620
29.50000000,4.27383659,10.25364323
29.55000000,3.96936242,9.59798049
29.60000000,3.72199898,9.06638362
29.65000000,3.55935892,8.67571822
29.70000000,3.50007605,8.21878618
29.75000000,3.55156378,8.13905648
29.80000000,3.70897310,8.16721709
29.85000000,3.95550359,8.62924289
29.90000000,4.26407291,8.80965883
29.95000000,4.60019579,9.63822733
30.00000000,4.92577929,9.94237598
30.05000000,5.20342540,10.40693192
30.10000000,5.40075857,11.05424380
30.15000000,5.49427571,11.62519289
30.20000000,5.47225449,11.78861306
30.25000000,5.33634991,11.55038916
30.30000000,5.10165144,11.56521664
30.35000000,4.79514809,11.21080547
30.40000000,4.45273723,10.59331610
30.45000000,4.11509285,10.05421917
30.50000000,3.82285814,9.42788990
30.55000000,3.61172542,9.10102697
30.60000000,3.50800025,8.45904017
30.65000000,3.52520778,8.19874594
30.70000000,3.66219072,8.13393749
30.75000000,3.90297832,8.51235534
30.80000000,4.21849533,8.71655606
30.85000000,4.56995080,9.38258417
30.90000000,4.91352988,10.08093708
30.95000000,5.20583309,10.34130614
31.00000000,5.40939298,11.18215100
31.05000000,5.49756526,11.66529963
31.10000000,5.45814705,11.91383145
31.15000000,5.29521751,11.82463318
31.20000000,5.02890985,11.40771633
31.25000000,4.69308391,10.97902832
31.30000000,4.33114372,10.35481633
31.35000000,3.99049776,10.00096225
31.40000000,3.71635713,9.32935088
31.45000000,3.54567944,8.77986202
31.50000000,3.50207414,8.18343025
31.55000000,3.59238356,8.15760236
31.60000000,3.80545124,8.29620832
31.65000000,4.11330858,8.54800096
31.70000000,4.47468721,9.12888189
31.75000000,4.84044130,9.83372063
31.80000000,5.16018526,10.49758186
31.85000000,5.38925947,10.99251253
31.90000000,5.49506052,11.38265664
31.95000000,5.46182900,11.71189711
32.00000000,5.29317481,11.78392267
32.05000000,5.01191695,11.50882800
32.10000000,4.65718371,10.97439396
32.15000000,4.27911033,10.34271877
32.20000000,3.93182925,9.57986832
32.25000000,3.66571907,9.02613249
32.30000000,3.52001897,8.37151610
32.35000000,3.51689919,8.23045389
32.40000000,3.65790081,8.12350382
32.45000000,3.92333809,8.32575416
32.50000000,4.27483638,9.03047845
32.55000000,4.66071552,9.48808130
32.60000000,5.02349195,10.27847384
32.65000000,5.30842806,10.83781233
32.70000000,5.47186275,11.47429516
32.75000000,5.48804824,11.79885155
32.80000000,5.35340422,11.74124721
32.85000000,5.08746218,11.36383275
32.90000000,4.73026058,11.22537337
32.95000000,4.33649615,10.49622460
33.00000000,3.96725370,9.54066239
33.05000000,3.68054494,8.91678292
33.10000000,3.52211568,8.52415981
33.15000000,3.51798664,8.23168126
33.20000000,3.66996510,8.24703513
33.25000000,3.95492905,8.48211624
33.30000000,4.32810445,9.04312327
33.35000000,4.72991651,9.42268835
33.40000000,5.09540053,10.06365859
33.45000000,5.36470592,10.88872389
33.50000000,5.49299874,11.46118686
33.55000000,5.45811214,11.54876091
33.60000000,5.26461344,11.58314627
33.65000000,4.94351097,11.32318583
33.70000000,4.54752917,10.87158448
33.75000000,4.14262517,9.88062005
33.80000000,3.79707802,9.42451686
33.85000000,3.56993868,8.77307681
33.90000000,3.50079621,8.39873492
33.95000000,3.60265329,8.17265690
34.00000000,3.85922545,8.29165698
34.05000000,4.22725363,8.90607098
34.10000000,4.64356430,9.31863920
34.15000000,5.03577093,10.22906126
34.20000000,5.33483354,10.87525561
34.25000000,5.48730630,11.35236250
34.30000000,5.46508884,11.57887393
34.35000000,5.27087208,11.61561492
34.40000000,4.93818480,11.36911084
34.45000000,4.52588550,10.51833302
34.50000000,4.10794706,10.12040611
34.55000000,3.76026609,9.25048199
34.60000000,3.54682963,8.91366842
34.65000000,3.50776455,8.39947075
34.70000000,3.65152807,8.18905939
34.75000000,3.95280066,8.51426210
34.80000000,4.35662793,9.14850942
34.85000000,4.78820351,9.56357985
34.90000000,5.16660224,10.27053578
34.95000000,5.41997109,11.02041860
35.00000000,5.49932839,11.61806797
35.05000000,5.38829774,11.72027311
35.10000000,5.10679892,11.35311868
35.15000000,4.70782246,11.06831385
35.20000000,4.26772817,10.49680611
35.25000000,3.87178450,9.53270361
35.30000000,3.59765157,8.84648864
35.35000000,3.50000099,8.51757456
35.40000000,3.59934124,8.14225444
35.45000000,3.87737864,8.44521751
35.50000000,4.28001248,8.66681040
35.55000000,4.72756637,9.67289465
35.60000000,5.13038702,10.22237007
35.65000000,5.40679640,10.98854876
35.70000000,5.49981002,11.64430663
35.75000000,5.38917402,11.72514824
35.80000000,5.09612775,11.55236159
35.85000000,4.67971825,11.25964368
35.90000000,4.22520815,10.41555124
35.95000000,3.82678229,9.63082415
36.00000000,3.56801997,8.92947041
